('L', 'L', 'L'), [60, 0, 0]
('L', 'L', 'ML'), [15, 5, 40]
('L', 'L', 'MH'), [40, 5, 15]
('L', 'L', 'H'), [27, 5, 28]
('L', 'ML', 'L'), [15, 5, 40]
('L', 'ML', 'ML'), [15, 5, 40]
('L', 'ML', 'MH'), [15, 5, 40]
('L', 'ML', 'H'), [15, 5, 40]
('L', 'MH', 'L'), [27, 5, 28]
('L', 'MH', 'ML'), [60, 0, 0]
('L', 'MH', 'MH'), [27, 5, 28]
('L', 'MH', 'H'), [40, 5, 15]
('L', 'H', 'L'), [60, 0, 0]
('L', 'H', 'ML'), [60, 0, 0]
('L', 'H', 'MH'), [15, 5, 40]
('L', 'H', 'H'), [27, 5, 28]
('ML', 'L', 'L'), [60, 0, 0]
('ML', 'L', 'ML'), [60, 0, 0]
('ML', 'L', 'MH'), [60, 0, 0]
('ML', 'L', 'H'), [60, 0, 0]
('ML', 'ML', 'L'), [15, 5, 40]
('ML', 'ML', 'ML'), [60, 0, 0]
('ML', 'ML', 'MH'), [40, 5, 15]
('ML', 'ML', 'H'), [60, 0, 0]
('ML', 'MH', 'L'), [60, 0, 0]
('ML', 'MH', 'ML'), [60, 0, 0]
('ML', 'MH', 'MH'), [40, 5, 15]
('ML', 'MH', 'H'), [27, 5, 28]
('ML', 'H', 'L'), [60, 0, 0]
('ML', 'H', 'ML'), [60, 0, 0]
('ML', 'H', 'MH'), [60, 0, 0]
('ML', 'H', 'H'), [40, 5, 15]
('MH', 'L', 'L'), [60, 0, 0]
('MH', 'L', 'ML'), [27, 5, 28]
('MH', 'L', 'MH'), [60, 0, 0]
('MH', 'L', 'H'), [60, 0, 0]
('MH', 'ML', 'L'), [60, 0, 0]
('MH', 'ML', 'ML'), [15, 5, 40]
('MH', 'ML', 'MH'), [60, 0, 0]
('MH', 'ML', 'H'), [60, 0, 0]
('MH', 'MH', 'L'), [60, 0, 0]
('MH', 'MH', 'ML'), [15, 5, 40]
('MH', 'MH', 'MH'), [27, 5, 28]
('MH', 'MH', 'H'), [60, 0, 0]
('MH', 'H', 'L'), [60, 0, 0]
('MH', 'H', 'ML'), [60, 0, 0]
('MH', 'H', 'MH'), [60, 0, 0]
('MH', 'H', 'H'), [40, 5, 15]
('H', 'L', 'L'), [60, 0, 0]
('H', 'L', 'ML'), [60, 0, 0]
('H', 'L', 'MH'), [60, 0, 0]
('H', 'L', 'H'), [60, 0, 0]
('H', 'ML', 'L'), [60, 0, 0]
('H', 'ML', 'ML'), [60, 0, 0]
('H', 'ML', 'MH'), [60, 0, 0]
('H', 'ML', 'H'), [60, 0, 0]
('H', 'MH', 'L'), [60, 0, 0]
('H', 'MH', 'ML'), [60, 0, 0]
('H', 'MH', 'MH'), [40, 5, 15]
('H', 'MH', 'H'), [40, 5, 15]
('H', 'H', 'L'), [60, 0, 0]
('H', 'H', 'ML'), [60, 0, 0]
('H', 'H', 'MH'), [60, 0, 0]
('H', 'H', 'H'), [60, 0, 0]
