Average speed: 25.433800312012583
('L', 'L', 'L'), [40, 5, 15]
('L', 'L', 'ML'), [60, 0, 0]
('L', 'L', 'MH'), [15, 5, 40]
('L', 'L', 'H'), [60, 0, 0]
('L', 'ML', 'L'), [15, 5, 40]
('L', 'ML', 'ML'), [40, 5, 15]
('L', 'ML', 'MH'), [27, 5, 28]
('L', 'ML', 'H'), [60, 0, 0]
('L', 'MH', 'L'), [60, 0, 0]
('L', 'MH', 'ML'), [15, 5, 40]
('L', 'MH', 'MH'), [60, 0, 0]
('L', 'MH', 'H'), [60, 0, 0]
('L', 'H', 'L'), [60, 0, 0]
('L', 'H', 'ML'), [60, 0, 0]
('L', 'H', 'MH'), [40, 5, 15]
('L', 'H', 'H'), [60, 0, 0]
('ML', 'L', 'L'), [15, 5, 40]
('ML', 'L', 'ML'), [60, 0, 0]
('ML', 'L', 'MH'), [15, 5, 40]
('ML', 'L', 'H'), [60, 0, 0]
('ML', 'ML', 'L'), [60, 0, 0]
('ML', 'ML', 'ML'), [27, 5, 28]
('ML', 'ML', 'MH'), [27, 5, 28]
('ML', 'ML', 'H'), [60, 0, 0]
('ML', 'MH', 'L'), [60, 0, 0]
('ML', 'MH', 'ML'), [40, 5, 15]
('ML', 'MH', 'MH'), [27, 5, 28]
('ML', 'MH', 'H'), [60, 0, 0]
('ML', 'H', 'L'), [60, 0, 0]
('ML', 'H', 'ML'), [60, 0, 0]
('ML', 'H', 'MH'), [60, 0, 0]
('ML', 'H', 'H'), [60, 0, 0]
('MH', 'L', 'L'), [27, 5, 28]
('MH', 'L', 'ML'), [40, 5, 15]
('MH', 'L', 'MH'), [60, 0, 0]
('MH', 'L', 'H'), [60, 0, 0]
('MH', 'ML', 'L'), [40, 5, 15]
('MH', 'ML', 'ML'), [27, 5, 28]
('MH', 'ML', 'MH'), [15, 5, 40]
('MH', 'ML', 'H'), [60, 0, 0]
('MH', 'MH', 'L'), [60, 0, 0]
('MH', 'MH', 'ML'), [60, 0, 0]
('MH', 'MH', 'MH'), [60, 0, 0]
('MH', 'MH', 'H'), [60, 0, 0]
('MH', 'H', 'L'), [60, 0, 0]
('MH', 'H', 'ML'), [60, 0, 0]
('MH', 'H', 'MH'), [60, 0, 0]
('MH', 'H', 'H'), [60, 0, 0]
('H', 'L', 'L'), [60, 0, 0]
('H', 'L', 'ML'), [60, 0, 0]
('H', 'L', 'MH'), [60, 0, 0]
('H', 'L', 'H'), [60, 0, 0]
('H', 'ML', 'L'), [60, 0, 0]
('H', 'ML', 'ML'), [40, 5, 15]
('H', 'ML', 'MH'), [60, 0, 0]
('H', 'ML', 'H'), [60, 0, 0]
('H', 'MH', 'L'), [60, 0, 0]
('H', 'MH', 'ML'), [60, 0, 0]
('H', 'MH', 'MH'), [40, 5, 15]
('H', 'MH', 'H'), [60, 0, 0]
('H', 'H', 'L'), [60, 0, 0]
('H', 'H', 'ML'), [60, 0, 0]
('H', 'H', 'MH'), [60, 0, 0]
('H', 'H', 'H'), [60, 0, 0]
