('L', 'L', 'L'), [60, 0, 0]
('L', 'L', 'ML'), [60, 0, 0]
('L', 'L', 'MH'), [15, 5, 40]
('L', 'L', 'H'), [27, 5, 28]
('L', 'ML', 'L'), [60, 0, 0]
('L', 'ML', 'ML'), [27, 5, 28]
('L', 'ML', 'MH'), [27, 5, 28]
('L', 'ML', 'H'), [27, 5, 28]
('L', 'MH', 'L'), [27, 5, 28]
('L', 'MH', 'ML'), [27, 5, 28]
('L', 'MH', 'MH'), [27, 5, 28]
('L', 'MH', 'H'), [27, 5, 28]
('L', 'H', 'L'), [27, 5, 28]
('L', 'H', 'ML'), [27, 5, 28]
('L', 'H', 'MH'), [27, 5, 28]
('L', 'H', 'H'), [27, 5, 28]
('ML', 'L', 'L'), [60, 0, 0]
('ML', 'L', 'ML'), [40, 5, 15]
('ML', 'L', 'MH'), [40, 5, 15]
('ML', 'L', 'H'), [40, 5, 15]
('ML', 'ML', 'L'), [40, 5, 15]
('ML', 'ML', 'ML'), [40, 5, 15]
('ML', 'ML', 'MH'), [27, 5, 28]
('ML', 'ML', 'H'), [27, 5, 28]
('ML', 'MH', 'L'), [40, 5, 15]
('ML', 'MH', 'ML'), [40, 5, 15]
('ML', 'MH', 'MH'), [27, 5, 28]
('ML', 'MH', 'H'), [27, 5, 28]
('ML', 'H', 'L'), [40, 5, 15]
('ML', 'H', 'ML'), [40, 5, 15]
('ML', 'H', 'MH'), [27, 5, 28]
('ML', 'H', 'H'), [27, 5, 28]
('MH', 'L', 'L'), [40, 5, 15]
('MH', 'L', 'ML'), [40, 5, 15]
('MH', 'L', 'MH'), [40, 5, 15]
('MH', 'L', 'H'), [40, 5, 15]
('MH', 'ML', 'L'), [40, 5, 15]
('MH', 'ML', 'ML'), [40, 5, 15]
('MH', 'ML', 'MH'), [40, 5, 15]
('MH', 'ML', 'H'), [27, 5, 28]
('MH', 'MH', 'L'), [40, 5, 15]
('MH', 'MH', 'ML'), [40, 5, 15]
('MH', 'MH', 'MH'), [40, 5, 15]
('MH', 'MH', 'H'), [27, 5, 28]
('MH', 'H', 'L'), [40, 5, 15]
('MH', 'H', 'ML'), [40, 5, 15]
('MH', 'H', 'MH'), [40, 5, 15]
('MH', 'H', 'H'), [27, 5, 28]
('H', 'L', 'L'), [40, 5, 15]
('H', 'L', 'ML'), [40, 5, 15]
('H', 'L', 'MH'), [40, 5, 15]
('H', 'L', 'H'), [40, 5, 15]
('H', 'ML', 'L'), [40, 5, 15]
('H', 'ML', 'ML'), [40, 5, 15]
('H', 'ML', 'MH'), [40, 5, 15]
('H', 'ML', 'H'), [40, 5, 15]
('H', 'MH', 'L'), [40, 5, 15]
('H', 'MH', 'ML'), [40, 5, 15]
('H', 'MH', 'MH'), [40, 5, 15]
('H', 'MH', 'H'), [40, 5, 15]
('H', 'H', 'L'), [40, 5, 15]
('H', 'H', 'ML'), [40, 5, 15]
('H', 'H', 'MH'), [40, 5, 15]
('H', 'H', 'H'), [40, 5, 15]
